fid,OBJECTID,MPDMR_NO,ARA_XCRD,ARA_YCRD,PRRCK_LARG,PRRCK_MDDL,LOCTN_ALTT,LOCTN_GRDN,EIGHT_ORBR,CLZN_CD,TPGRP_TPCD,PRDN_FOM_C,SLANT_TYP_,SLDPT_TPCD,SCSTX_CD,SLTP_CD,LDMARK_STN,MAP_LABEL_,Shape_Leng,Shape_Area
1072648,1072648,"37612003","183940.01","442073.31","2","21",43.500000000000000,17.399999999999999,118.599999999999990,"2","07","05","2","20","02","06","L106","rB©ü",127.625648797789950,643.713529305862720
1059181,1059181,"37612003","184006.07","442130.53","2","21",29.800000000000001,15.199999999999999,125.400000000000010,"2","07","05","2","20","02","06","L106","rB©ü",314.309909343822600,4707.918926703571700
1059191,1059191,"37612004","185013.14","442247.16","3","31",92.799999999999997,21.199999999999999,157.699999999999990,"2","07","05","2","20","01","02","L102","B©ü",1223.440430838685600,22398.088268107073000
1072656,1072656,"37612004","184771.14","442304.21","3","31",69.000000000000000,14.000000000000000,270.000000000000000,"2","07","05","2","20","01","02","L102","B©ü",771.657618768191700,10679.623056397222000
1072649,1072649,"37612003","184035.62","442240.47","2","21",29.800000000000001,35.700000000000003,97.000000000000000,"2","07","05","2","20","05","06","L106","rB©ü",84.179416243615563,340.925826283897890
1072647,1072647,"37612003","184003.24","442275.47","2","21",36.100000000000001,5.700000000000000,0.000000000000000,"2","07","01","1","20","02","05","L105","rB©û",272.784775888430320,1427.871481655012500
1072722,1072722,"37612004","185526.19","441805.99","3","31",33.799999999999997,13.400000000000000,93.000000000000000,"2","07","01","1","10","01","24","L624","Er©û",1339.816707768815400,36893.851787019696000
1074349,1074349,"37612003","183886.07","442145.53","2","21",45.600000000000001,14.900000000000000,295.600000000000020,"2","07","01","1","20","02","05","L105","rB©û",1008.322227682157100,8182.255822942855000
1074350,1074350,"37612003","183971.07","442290.53","2","21",30.399999999999999,10.699999999999999,340.300000000000010,"2","07","05","2","20","02","06","L106","rB©ü",650.943468898413360,12380.124047905692000
1074353,1074353,"37612004","185233.14","442187.16","3","31",95.099999999999994,16.300000000000001,154.300000000000010,"2","07","01","1","10","01","01","L101","B©û",7539.980271388387300,231785.156134825290000
1059188,1059188,"37612004","184823.14","442407.16","3","31",70.500000000000000,18.800000000000001,299.100000000000020,"2","07","05","2","20","02","02","L102","B©ü",1018.229242351989000,32628.814439076043000
1059194,1059194,"37612004","185228.14","442547.16","2","21",80.299999999999997,24.800000000000001,53.000000000000000,"2","07","05","2","20","02","02","L102","B©ü",3132.271311929193000,75464.419650643962000
1059190,1059190,"37612004","184983.14","442632.16","3","31",65.900000000000006,19.300000000000001,295.199999999999990,"2","07","05","2","20","02","02","L102","B©ü",1126.012579667933600,44966.128283233891000
1059187,1059187,"37612004","184798.14","442627.16","3","31",45.799999999999997,20.199999999999999,22.300000000000001,"2","07","05","2","20","01","02","L102","B©ü",419.962573303454180,6253.013590556751300
1072655,1072655,"37612004","185239.44","442759.06","2","21",128.900000000000010,15.100000000000000,166.599999999999990,"2","07","01","1","10","02","01","L101","B©û",3196.601087383501600,98982.019719968957000
1059199,1059199,"37612004","185798.14","442717.16","3","31",40.399999999999999,14.699999999999999,152.099999999999990,"2","07","05","2","20","01","02","L102","B©ü",384.307592159572100,9063.602441635686800
1059192,1059192,"37612004","185193.14","442962.16","3","31",61.700000000000003,20.100000000000001,335.000000000000000,"2","07","05","2","20","02","02","L102","B©ü",1440.879895814374300,49279.578610108903000
1059195,1059195,"37612004","185343.14","442932.16","3","31",63.200000000000003,15.500000000000000,66.500000000000000,"2","07","05","2","20","02","02","L102","B©ü",1142.480484461815400,26650.148721403628000
1072658,1072658,"37612004","184955.34","442811.55","3","31",53.299999999999997,6.800000000000000,198.400000000000010,"2","07","05","2","20","02","02","L102","B©ü",351.599482882619440,7140.424050080705500
1072657,1072657,"37612004","184809.32","442817.2","3","31",36.100000000000001,6.800000000000000,288.399999999999980,"2","07","05","2","20","01","02","L102","B©ü",169.416318298988560,1567.348605508354000
1072660,1072660,"37612004","184781.52","442959.28","3","31",41.299999999999997,10.300000000000001,195.900000000000010,"2","07","05","2","20","01","02","L102","B©ü",1913.695277776207800,24770.167684666798000
1072659,1072659,"37612004","184896.3","442912.58","3","31",44.200000000000003,8.100000000000000,217.900000000000010,"2","07","05","2","20","01","02","L102","B©ü",250.434935187471980,3798.870238833213500
1059183,1059183,"37612004","184622.04","442922.95","3","31",44.600000000000001,3.000000000000000,135.000000000000000,"2","","","","","","93","L993","C",194.774953872058320,1849.247286841128900
1059198,1059198,"37612004","185543.14","442982.16","3","31",59.700000000000003,16.500000000000000,108.599999999999990,"2","07","05","2","20","01","01","L101","B©û",366.207067442261010,5249.085497983424800
1072654,1072654,"37612004","184948.78","442970.3","3","31",47.500000000000000,12.000000000000000,356.600000000000020,"2","07","01","1","10","01","01","L101","B©û",253.760046014824270,2917.592365189855200
1059184,1059184,"37612004","184642.03","442959.24","3","31",48.700000000000003,7.100000000000000,216.900000000000010,"2","","","","","","91","L991","S",130.597147139101370,944.135761808633450
1072661,1072661,"37612004","185009.35","442995.96","3","31",38.000000000000000,7.100000000000000,36.899999999999999,"2","07","05","2","20","01","02","L102","B©ü",119.491290229771440,572.074022127737520
1059186,1059186,"37612004","184688.14","443172.16","3","31",49.200000000000003,7.600000000000000,280.000000000000000,"2","07","05","2","20","01","02","L102","B©ü",303.148174022561140,4330.654200749709200
1059189,1059189,"37612004","184848.14","443407.16","3","31",40.000000000000000,12.800000000000001,339.600000000000020,"2","07","05","2","20","02","02","L102","B©ü",1253.768507658820500,12442.420490830913000
1059182,1059182,"37612003","184456.07","443475.53","2","27",31.300000000000001,6.600000000000000,105.800000000000000,"2","07","05","2","20","01","06","L106","rB©ü",370.726768721268170,3151.448808000259800
1072650,1072650,"37612003","184378.24","443525.34","2","27",39.600000000000001,7.100000000000000,126.900000000000010,"2","07","05","2","20","01","06","L106","rB©ü",858.186071125718060,7340.627902736567200
1074351,1074351,"37612004","184758.14","443057.16","3","31",64.500000000000000,15.400000000000000,298.899999999999980,"2","07","01","1","10","01","01","L101","B©û",3006.016925616601800,74786.781732344680000
1074352,1074352,"37612004","184893.14","443167.16","3","31",46.000000000000000,14.500000000000000,100.300000000000000,"2","07","05","2","20","01","02","L102","B©ü",1183.382000882046200,24565.404143148680000
1084065,1084065,"37612004","184778.14","443977.16","3","31",35.000000000000000,8.000000000000000,228.099999999999990,"2","07","05","2","20","01","06","L106","rB©ü",584.631466437237350,6816.279974239101600
1084061,1084061,"37612003","184381.07","444070.53","3","31",49.100000000000001,17.800000000000001,135.099999999999990,"2","07","05","2","20","01","06","L106","rB©ü",1173.338353511084300,23346.974713245629000
1084064,1084064,"37612004","184688.14","443862.16","3","31",33.700000000000003,29.800000000000001,58.500000000000000,"2","07","05","2","20","02","06","L106","rB©ü",260.142618392879740,1316.605580244832000
1084058,1084058,"37612003","183501.07","444075.53","3","31",60.200000000000003,10.300000000000001,45.000000000000000,"2","07","05","2","20","02","06","L106","rB©ü",665.169643704198730,15814.737577682370000
1084067,1084067,"37612004","185243.14","444067.16","3","31",42.899999999999999,12.300000000000001,200.800000000000010,"2","07","03","1","10","01","01","L101","B©û",601.326283435830080,17809.971212513297000
1083956,1083956,"37608093","184027.69","444575.68","3","31",82.200000000000003,11.600000000000000,244.599999999999990,"2","07","01","1","10","01","01","L101","B©û",8171.070267600070100,238438.077950636100000
1084060,1084060,"37612003","183701.07","444140.53","3","31",54.700000000000003,7.600000000000000,202.400000000000010,"2","07","05","2","20","02","02","L102","B©ü",539.587440601433290,9648.494436129580200
1084053,1084053,"37612003","183236.07","444445.53","3","31",66.000000000000000,13.500000000000000,296.199999999999990,"2","07","01","1","10","01","01","L101","B©û",3497.707002111901600,95563.701295394931000
1084066,1084066,"37612004","185143.14","444252.16","3","31",42.399999999999999,11.500000000000000,273.699999999999990,"2","07","05","2","20","01","02","L102","B©ü",1183.292104982008100,26556.221671291787000
1084070,1084070,"37612004","185733.14","444227.16","3","31",49.899999999999999,18.399999999999999,166.500000000000000,"2","07","05","2","20","01","02","L102","B©ü",651.406092912273270,11804.772784951838000
1084062,1084062,"37612003","184426.07","444285.53","3","31",53.200000000000003,18.500000000000000,213.000000000000000,"2","07","05","2","20","02","02","L102","B©ü",3596.486733002618200,78809.279543911180000
1084063,1084063,"37612004","184583.14","444387.16","3","31",54.299999999999997,11.300000000000001,77.799999999999997,"2","07","05","2","20","01","02","L102","B©ü",1099.657094125121400,20555.610229361682000
1084059,1084059,"37612003","183616.07","444390.53","3","31",58.000000000000000,12.600000000000000,49.200000000000003,"2","07","05","2","20","02","02","L102","B©ü",2034.402508307156900,55690.226359559281000
1084069,1084069,"37612004","185678.14","444482.16","3","31",80.400000000000006,21.100000000000001,156.000000000000000,"2","07","05","2","20","02","02","L102","B©ü",1795.426337529922000,25016.303184507029000
1084068,1084068,"37612004","185288.14","444467.16","3","31",60.500000000000000,13.800000000000001,288.600000000000020,"2","07","05","2","20","02","02","L102","B©ü",1305.128168244069200,26448.103333924413000
1083947,1083947,"37608093","183702.69","444710.68","3","31",55.700000000000003,18.699999999999999,212.900000000000010,"2","07","05","2","20","02","02","L102","B©ü",1954.550831403730200,41646.958442704024000
1083989,1083989,"37608094","185289.52","444522.78","3","31",54.799999999999997,11.800000000000001,289.300000000000010,"2","","","","","","82","L983","R",189.267795050802160,2247.222433304493300
1083968,1083968,"37608093","184407.69","444725.68","3","31",65.799999999999997,24.600000000000001,44.899999999999999,"2","07","05","2","20","02","02","L102","B©ü",2118.627394371873800,34628.509965436722000
1083997,1083997,"37608094","185854.52","444592.78","3","31",45.899999999999999,14.100000000000000,62.600000000000001,"2","07","05","2","20","02","02","L102","B©ü",1033.316257851173300,19834.340411753834000
1083991,1083991,"37608094","185404.52","444752.78","3","31",55.600000000000001,12.100000000000000,284.699999999999990,"2","07","05","2","20","02","02","L102","B©ü",2362.150150522947100,49056.291672926185000
1083982,1083982,"37608094","185019.52","444927.78","3","31",50.000000000000000,13.600000000000000,265.199999999999990,"2","07","05","2","20","01","02","L102","B©ü",1396.562926281991800,44128.638354814189000
1083992,1083992,"37608094","185447.12","444707.01","3","31",65.799999999999997,7.300000000000000,330.899999999999980,"2","","","","","","91","L991","S",189.025599021862830,2037.113723645999700
1083971,1083971,"37608093","184472.69","445010.68","3","31",68.599999999999994,15.900000000000000,167.699999999999990,"2","07","05","2","20","01","02","L102","B©ü",2234.659368542351300,37542.076249880600000
